src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.9.88,20.250.119.64,58178,443,2048,2025-10-12 20:07:38,27.065464,28.043117974995738,0.3694745451251085,0.22168472707506512,0.1477898180500434,6,4,408,351,72,60,68.0,5.656854249492381,111,72,87.75,16.618889854620253,111,60,75.9,14.942891286494724,223.28999999999996,120,80,20,0,3.007273777777778,26.637466,0.0,8.35499171248959,27.065464000000002,26.865545,0.0,5.413092799999999,10.72650330202456,26.837355,26.637466,3e-06,8.945784999999999,12.510173746668297,0,2,0,0,2,0,2,2,8,0,0,0.6666666666666666,75.9,5325,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,87.75,0,6,4,408,351
192.168.8.16,224.0.0.251,5353,5353,2048,2025-10-12 20:07:39,79.975286,8.177526242294402,0.07502317653481103,0.07502317653481103,0.0,6,0,654,0,109,109,109.0,0.0,0,0,0,0.0,109,109,109.0,0.0,0.0,120,0,20,6,15.995057200000002,20.0705,0.0,7.997626636116978,79.975286,20.0705,0.0,15.995057200000002,7.997626636116978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0,0,0,6,0,654,0
192.168.8.17,224.0.0.251,5353,5353,2048,2025-10-12 20:07:40,86.221726,19.11351206307329,0.12757805381905715,0.12757805381905715,0.0,11,0,1648,0,186,106,149.8181818181818,35.021599002532916,0,0,0,0.0,186,106,149.8181818181818,35.021599002532916,1226.5123966942147,220,0,20,11,8.622172599999999,67.585465,0.0,19.80257073945018,86.221726,67.585465,0.0,8.622172599999999,19.80257073945018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,149.8181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.8181818181818,0,0,11,0,1648,0
192.168.8.54,224.0.0.251,5353,5353,2048,2025-10-12 20:07:42,67.077157,32.201722562570744,0.08944922934047428,0.08944922934047428,0.0,6,0,2160,0,1070,218,360.0,317.52165280497013,0,0,0,0.0,1070,218,360.0,317.52165280497013,100820.0,120,0,20,6,13.4154314,60.113884,0.0,23.386251805038178,67.077157,60.113884,0.0,13.4154314,23.386251805038178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0,0,0,6,0,2160,0
172.22.0.1,239.255.255.250,46868,1900,2048,2025-10-12 20:07:43,3.004556,1530.6754142708608,6.989385453291601,6.989385453291601,0.0,21,0,4599,0,219,219,219.0,0.0,0,0,0,0.0,219,219,219.0,0.0,0.0,420,0,20,21,0.1502278,1.001729,0.0,0.35758919713151294,3.004556,1.001729,0.0,0.1502278,0.35758919713151294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,219.0,0,0,0,0,0,0,0,0,0,0,855.0,5.0,0,0,19542857.14285714285714285714,0,219.0,0,0,21,0,4599,0
192.168.9.88,239.255.255.250,39190,1900,2048,2025-10-12 20:07:43,3.004525,364.4502874830464,1.6641565638495268,1.6641565638495268,0.0,5,0,1095,0,219,219,219.0,0.0,0,0,0,0.0,219,219,219.0,0.0,0.0,100,0,20,5,0.75113125,1.001853,0.0,0.4336658807673109,3.004525,1.001853,0.0,0.75113125,0.4336658807673109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,219.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.0,0,0,5,0,1095,0
192.168.49.1,239.255.255.250,34853,1900,2048,2025-10-12 20:07:43,3.004509,656.0140109415548,2.9954977668564147,2.9954977668564147,0.0,9,0,1971,0,219,219,219.0,0.0,0,0,0,0.0,219,219,219.0,0.0,0.0,180,0,20,9,0.375563625,1.001908,0.0,0.4848467150899182,3.004509,1.001908,0.0,0.375563625,0.4848467150899182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,219.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.0,0,0,9,0,1971,0
192.168.8.21,192.168.15.255,57621,57621,2048,2025-10-12 20:07:43,119.911305,4.603402489865322,0.05003698358549263,0.05003698358549263,0.0,6,0,552,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,120,0,20,6,23.982260999999998,30.005497,0.0,11.991199618630873,119.911305,30.005497,0.0,23.982260999999998,11.991199618630873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,6,0,552,0
10.240.27.13,255.255.255.255,55872,29810,2048,2025-10-12 20:07:46,30.105893,145.1875219246943,0.16608044146041442,0.16608044146041442,0.0,5,0,4371,0,875,873,874.2,0.9797958971132713,0,0,0,0.0,875,873,874.2,0.9797958971132713,0.9600000000000002,100,0,20,5,7.5264732500000004,10.037236,0.0,4.345411574928167,30.105893000000002,10.037236,0.0,7.5264732500000004,4.345411574928167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,874.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874.2,0,0,5,0,4371,0
172.22.0.1,172.22.0.5,50550,80,2048,2025-10-12 20:07:49,0.006773,410748.5604606526,3543.4814705448102,2362.3209803632067,1181.1604901816033,16,8,1640,1142,292,72,102.5,71.71994143890527,347,72,142.75,117.9690107613012,347,72,115.91666666666667,91.8045553820119,8428.076388888889,320,160,20,2,0.00029447826086956524,0.005044,0.0,0.0010263082793732197,0.0067729999999999995,0.005129,0.0,0.0004515333333333333,0.0012665177386133293,0.006671,0.005044,7e-06,0.000953,0.0017026817503154085,2,2,0,0,4,8,0,4,18,0,0,0.5,115.91666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.5,142.75,0,16,8,1640,1142
